title,price,neighborhood,url
Beautiful four bedroom house for rent with backyard,"$4,200",Kensington Market,https://toronto.craigslist.org/tor/apa/d/toronto-beautiful-four-bedroom-house/7867815445.html
Basement apartment,"$1,900",Toronto,https://toronto.craigslist.org/tor/apa/d/toronto-basement-apartment/7871046637.html
"Spacious, modern, 1+1 unit in the heart of King West","$2,400",King and Spadina,https://toronto.craigslist.org/tor/apa/d/toronto-spacious-modern-11-unit-in-the/7866063840.html
2 bedroom basement for rent,"$1,800",Mississauga,https://toronto.craigslist.org/mss/apa/d/mississauga-bedroom-basement-for-rent/7871020372.html
"Exposed Brick & BeamLive/Work Loft , 18' ceiling","$2,078",Toronto,https://toronto.craigslist.org/tor/apa/d/york-exposed-brick-beamlive-work-loft/7871009252.html
3 BED + 3 BATH WITH FULLY FURNISHED BASEMENT HOME BRAMPTON,"$3,100",Brampton,https://toronto.craigslist.org/tor/apa/d/brampton-bed-bath-with-fully-furnished/7868066997.html
"Open Concept Loft, 15 foot ceiling Live/Work Studio","$3,700",Toronto,https://toronto.craigslist.org/tor/apa/d/york-open-concept-loft-15-foot-ceiling/7871011026.html
Spacious studio bsmt apartment. for rent,"$1,800",Toronto,https://toronto.craigslist.org/tor/apa/d/york-spacious-studio-bsmt-apartment-for/7871010387.html
11 BRUNEL COURT - WESTONE CONDOS - HIGH FLOOR 1 BEDROOM W/LAKEVIEWS,"$1,900",11 Brunel Court & Fort York Blvd. / Spadina Avenue M5V3Y3,https://toronto.craigslist.org/tor/apa/d/toronto-11-brunel-court-westone-condos/7869756995.html
65 BREMNER BLVD -MAPLE LEAF SQUARE - 1 BEDROOM W/BALCONY CN TOWER VIEW,"$2,200",toronto,https://toronto.craigslist.org/tor/apa/d/toronto-65-bremner-blvd-maple-leaf/7869760047.html
NEW!! Furnished Cozy 1 Bd 1 Bath bsmt Apt at Bloor and Spadina,"$1,230",Downtown Toronto (Spadina and Bloor),https://toronto.craigslist.org/tor/apa/d/central-toronto-new-furnished-cozy-bd/7864340546.html
88 HARBOUR STREET - HARBOUR PLAZA - 1 BEDROOM W/LAKEVIEWS (VIDEO),"$2,300",88 Harbour Street M5J0C3 & 100 Harbour Street M5J0B5,https://toronto.craigslist.org/tor/apa/d/toronto-88-harbour-street-harbour-plaza/7868736394.html
15 LOWER JARVIS STREET - LIGHTHOUSE CONDOS - HIGH FLOOR 1 BEDROOM+DEN,"$2,450",15 Lower Jarvis Street & 20 Richardson Street M5E0C4,https://toronto.craigslist.org/tor/apa/d/toronto-15-lower-jarvis-street/7868826826.html
225 SHERWAY GARDENS ROAD - ONE SHERWAY CONDOS - 2 BEDROOM W/1-PARKING,"$2,700",225 Sherway Gardens Road - ( The West Mall & Evans Avenue ),https://toronto.craigslist.org/tor/apa/d/etobicoke-225-sherway-gardens-road-one/7865906551.html
8 YORK ST - WATERCLUB CONDOS - 2 BEDROOM + DEN W/1-PARKING & LAKEVIEWS,"$3,600",8 York Street & 208 / 218 Queens Quay West & York Street,https://toronto.craigslist.org/tor/apa/d/toronto-york-st-waterclub-condos/7868331666.html
8 WELLESLEY STREET CONDOS - HIGH FLOOR 2 BEDROOM + DEN W/PARKING,"$3,600",8 Wellesley Street West & Yonge Street / Bay Street  M4Y1Y5,https://toronto.craigslist.org/tor/apa/d/toronto-wellesley-street-condos-high/7870185016.html
65 BREMNER BLVD - MAPLE LEAF SQUARE - FURNISHED 2 BEDROOM W/PARKING,"$4,000",65 Bremner Blvd. at York Street - 55 & 65 Bremner Blvd. M5J0,https://toronto.craigslist.org/tor/apa/d/toronto-65-bremner-blvd-maple-leaf/7871006658.html
Beautiful Newly Renovated 1 Bedroom: Ossington & Dupont,"$1,950",Toronto,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-beautiful-newly/7870992318.html
Bright 1+1 south facing unit offers a spacious open-concept layout,"$2,500","North St. James Town, Toronto",https://toronto.craigslist.org/tor/apa/d/toronto-bright-11-south-facing-unit/7862182307.html
Beautifully Maintained 1-Bedroom Plus Den Condo W/ Parking / Locker,"$2,300","Islington-City Centre West, Toronto",https://toronto.craigslist.org/tor/apa/d/etobicoke-beautifully-maintained/7869836117.html
"Welcome to 89 Combermere Drive, a solidly built 1 1/2-storey semi-","$3,500","Parkwoods-Donalda, Toronto",https://toronto.craigslist.org/tor/apa/d/north-york-welcome-to-89-combermere/7869837814.html
West Annex Spacious 2 bedroom,"$2,200","Bloor/ Christtie, Toronto",https://toronto.craigslist.org/tor/apa/d/toronto-west-annex-spacious-bedroom/7870985979.html
Nice Spacious 3 bedroom on Dundas Street West,"$2,700","Dundas St. W, Ossington, Toronto",https://toronto.craigslist.org/tor/apa/d/toronto-nice-spacious-bedroom-on-dundas/7870984049.html
"Upgarded 1 bedroom unit in prime area, parking included","$2,100",vaughan,https://toronto.craigslist.org/yrk/apa/d/concord-upgarded-bedroom-unit-in-prime/7870979175.html
1 BA Downtown Toronto Furnish Lakefront Yonge_Bay_York_Lake Shore_TMU,"$2,750",toronto,https://toronto.craigslist.org/tor/apa/d/toronto-ba-downtown-toronto-furnish/7870970635.html
4BR +den 1.5 bath apt Dundas & Bathurst incl water + electricity,"$3,000",Downtown toronto,https://toronto.craigslist.org/tor/apa/d/toronto-4br-den-15-bath-apt-dundas/7862344292.html
Newly Renovated 1 small bedroom /Studio House,$800,Toronto,https://toronto.craigslist.org/tor/apa/d/downsview-east-newly-renovated-small/7870958578.html
ROSEDALE: Large 2 Bedroom Corner Apartment For Rent Downtown Toronto,"$3,550",DOWNTOWN TORONTO - ROSEDALE - SUMMERHILL - YORKVILLE,https://toronto.craigslist.org/tor/apa/d/toronto-rosedale-large-bedroom-corner/7861939339.html
"Queen w Drake Hotel,5br,2decks,2flrs,laundry,2bath,Sept1$3700 ovr shop","$3,700",1124 Queen st w@Dufferin over pizza pizza 1900ft,https://toronto.craigslist.org/tor/apa/d/toronto-queen-drake/7865963143.html
MUST SEE KENSIGHTON MARKET 3 BEDS 1 BATH WITH W/O DECK,"$3,300",DUNDAS AND SPADINA,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-must-see-kensighton/7870937233.html
RONCE ADDRESS TWO LEVELS 3 BEDS 2 BATHS,"$4,750",BLOOR AND DUNDAS,https://toronto.craigslist.org/tor/apa/d/toronto-ronce-address-two-levels-beds/7870939045.html
A MUST SEE TWO LEVELS TOWNHOUSE WITH TERRACE 3 3 BATHS,"$4,200",BLOOR AND DUNDAS,https://toronto.craigslist.org/tor/apa/d/toronto-must-see-two-levels-townhouse/7870938492.html
THE JUNCTION WALK UP 3 BEDS 1 BATH,"$4,000",DUNDAS AND KEELE,https://toronto.craigslist.org/tor/apa/d/toronto-the-junction-walk-up-beds-bath/7870937893.html
LITTLE PORTUGAL 3 BEDS 1 BATH MAIN LEVEL WITH BACKYARD ACCESS,"$3,000",DUNDAS AND DUFFERIN,https://toronto.craigslist.org/tor/apa/d/toronto-little-portugal-beds-bath-main/7870936940.html
TWO LEVELS 3 BEDS 1 BATH WITH BACKYARD ACCESS PARKING ICNLD,"$3,000",DUPONT AND LANSDOWNE,https://toronto.craigslist.org/tor/apa/d/west-toronto-two-levels-beds-bath-with/7870936381.html
newly renovated spacious bachelor,"$1,550",eglinton and keele,https://toronto.craigslist.org/tor/apa/d/york-newly-renovated-spacious-bachelor/7869677951.html
must see great value 2 beds 1 bath upper level corso italia,"$1,975",DAVENPORT AND LANSDOWNE,https://toronto.craigslist.org/tor/apa/d/west-toronto-must-see-great-value-beds/7869678694.html
EXPOSED BRICK ONE MONTH FREE BACHELOR WITH W/O DECK,"$2,000",CHURCH AND CARLTON,https://toronto.craigslist.org/tor/apa/d/toronto-exposed-brick-one-month-free/7869679246.html
MUST SEE MAIN LEVEL 2 BEDS 1 BATH ENSUITE LAUNDRY UTILITIES INCLD,"$2,400",DUPONT AND OSSIGNTON,https://toronto.craigslist.org/tor/apa/d/west-toronto-must-see-main-level-beds/7869680111.html
MAIN LEVEL RECENTLY RENOVATED  2 BEDS 1 BATH,"$2,600",DUPONT AND DOVERCOURT,https://toronto.craigslist.org/tor/apa/d/west-toronto-main-level-recently/7869680443.html
THE ANNEX MAIN LEVEL EXPOSED BRICK 2 BEDS 1 BATH WITH BACKYARD,"$3,000",BLOOR AND BATHURST,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-the-annex-main-level/7869681845.html
ON SUBWAY LINE 800 SQ FT 1 BED POST AND WOOD BEAMS,"$2,800",BLOOR AND DUFFERIN,https://toronto.craigslist.org/tor/apa/d/west-toronto-on-subway-line-800-sq-ft/7869681456.html
LITTLE PORTUGAL MAIN LEVEL 2 BEDS 1 BATH,"$2,800",DUNDAS AND DUFFERIN,https://toronto.craigslist.org/tor/apa/d/toronto-little-portugal-main-level-beds/7869681036.html
Detached House for RENT,"$3,600",Newmarket,https://toronto.craigslist.org/yrk/apa/d/newmarket-northeast-detached-house-for/7870935913.html
